epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.5161,4.21843,6.5863,4.07542,0,0,0,0,4.53819,4.39535,3.99512,0.00330033,0.00330033,0.070297
2,59.9178,3.08159,3.02761,1.85636,0.18583,0.05236,0.01506,0.00495,3.41327,3.41144,1.71542,0.00661177,0.00661177,0.0402751
3,84.7411,2.76489,2.12474,1.23442,0.1977,0.19525,0.13621,0.05347,2.51969,1.92032,1.1369,0.00990121,0.00990121,0.0102312
4,109.507,2.4642,1.7406,1.07176,0.43058,0.42012,0.35135,0.16303,2.16873,1.41594,1.00395,0.009901,0.009901,0.009901
5,135.186,2.24978,1.49151,0.99386,0.47082,0.47498,0.42682,0.21292,2.04162,1.21048,0.9563,0.009868,0.009868,0.009868
6,159.01,2.12212,1.34844,0.95757,0.53479,0.46581,0.47361,0.2438,1.89196,1.15841,0.92578,0.009835,0.009835,0.009835
7,182.527,2.03921,1.25004,0.93387,0.59473,0.52739,0.54425,0.29874,1.81305,1.06143,0.90695,0.009802,0.009802,0.009802
8,205.999,1.98362,1.18153,0.91758,0.54711,0.57799,0.5547,0.31903,1.71491,0.97668,0.89581,0.009769,0.009769,0.009769
9,229.367,1.93586,1.12931,0.90594,0.64236,0.55747,0.59236,0.34276,1.70763,0.93776,0.88429,0.009736,0.009736,0.009736
10,256.213,1.89872,1.0794,0.89553,0.65352,0.57027,0.60236,0.36336,1.66331,0.91102,0.87816,0.009703,0.009703,0.009703
11,280.232,1.85708,1.04204,0.89085,0.64174,0.62282,0.64636,0.3905,1.62492,0.86398,0.86725,0.00967,0.00967,0.00967
12,304.205,1.83842,1.01097,0.88387,0.67546,0.62311,0.65061,0.39933,1.56801,0.83134,0.86501,0.009637,0.009637,0.009637
13,327.93,1.81514,0.98492,0.87934,0.62909,0.6669,0.67057,0.41684,1.55272,0.81499,0.85997,0.009604,0.009604,0.009604
